,Daily Returns,Total Returns,Funds,Margin,Portfolio Value,AAPL Position,AAPL Order,AAPL Filled Order,AAPL Trade Price,AAPL Cost to Trade,AAPL PnL,AIG Position,AIG Order,AIG Filled Order,AIG Trade Price,AIG Cost to Trade,AIG PnL,AIR Position,AIR Order,AIR Filled Order,AIR Trade Price,AIR Cost to Trade,AIR PnL,A Position,A Order,A Filled Order,A Trade Price,A Cost to Trade,A PnL
2013-09-20,-0.12516,-32.38287945,-116428.2445,770112.23,672446.3555,281,422,0,68.29,0.0,-196.7,-32,67,0,49.97,0.0,-2.88,-24989,25466,0,29.79,0.0,-499.78,-472,714,0,51.04,0.0,-552.24
2013-09-19,-2.00272055,-32.25771945,-75274.3645,749535.29,693219.9955,281,331,331,67.24,46.5055,-24.8755,-32,46,0,50.79,0.0,22.72,-24989,25171,0,28.93,0.0,-19241.53,-472,555,0,52.92,0.0,-783.52
2013-09-18,-2.7359416,-30.2549989,836.321,722631.42,723467.741,-50,68,68,66.17,12.716,-155.376,-32,30,0,50.29,0.0,-3.52,-24989,24958,0,27.8,0.0,-26988.12,-472,458,0,48.77,0.0,-212.4
2013-09-17,-0.665788,-27.5190573,13933.917,718338.76,732272.677,-118,128,128,63.99,25.92,-74.74,-32,24,0,49.67,0.0,-24.64,-24989,24919,0,27.46,0.0,-6497.14,-472,443,0,48.73,0.0,-61.36
2013-09-16,-1.33035965,-26.8532693,17000.697,720913.69,737914.387,-246,133,133,65.86,20.0165,572.1935,-32,9,0,50.16,0.0,0.32,-24989,24837,0,27.21,0.0,-13743.95,-472,412,0,49.06,0.0,-132.16
2013-09-13,-1.3258092,-25.52290965,40828.9535,713389.26,754218.2135,-379,-3,0,67.05,0.0,424.48,-32,-18,-18,49.38,2.502,-14.142,-24989,24728,0,26.55,0.0,-13743.95,-472,379,0,48.6,0.0,75.52
2013-09-12,0.81431055,-24.19710045,36015.9155,715352.61,751368.5255,-379,5,5,66.93,0.8175,-270.4575,-14,-14,-14,49.9,1.967,6.713,-24989,24714,0,26.66,0.0,8246.37,-472,395,0,48.9,0.0,160.48
2013-09-11,0.1072136,-25.011411,38326.47,714016.75,752343.22,-384,213,213,66.72,48.564,2265.216,0,0,0,49.41,0.0,0.0,-24989,24709,0,26.63,0.0,-999.56,-472,410,0,48.6,0.0,-193.52
2013-09-10,-1.828979,-25.1186246,48504.434,716057.73,764562.164,-597,60,0,72.31,0.0,985.05,0,0,0,49.55,0.0,0.0,-24989,24485,0,26.02,0.0,-18991.64,-472,386,0,48.04,0.0,-283.2
2013-09-09,-0.842272,-23.2896456,64125.614,708247.14,772372.754,-597,26,0,72.14,0.0,-680.58,0,0,0,48.36,0.0,0.0,-24989,24302,0,25.72,0.0,-7496.7,-472,378,0,47.59,0.0,-245.44
2013-09-06,0.011715,-22.4473736,63123.634,708748.13,771871.764,-597,28,0,71.21,0.0,-250.74,0,0,0,48.9,0.0,0.0,-24989,24114,0,25.76,0.0,249.89,-472,344,0,47.71,0.0,118.0
2013-09-05,-0.23606125,-22.4590886,75715.574,702452.16,778167.734,-597,-77,-77,71.46,10.9725,298.4975,0,0,0,48.44,0.0,0.0,-24989,23790,0,25.5,0.0,-2748.79,-472,292,0,47.82,0.0,89.68
2013-09-04,-0.1313224,-22.22302735,83162.2865,695983.08,779145.3665,-520,-100,-100,71.37,19.45,-611.25,0,88,88,47.61,13.684,-8.404,-24989,23484,0,25.48,0.0,-249.89,-472,244,0,46.93,0.0,-443.68
2013-09-03,-1.0726968,-22.09170495,86909.8605,692652.2,779562.0605,-420,-138,-138,70.44,20.148,11.772,-88,66,0,47.1,0.0,-106.48,-24989,23207,0,25.48,0.0,-10495.38,-472,184,0,47.04,0.0,-136.88
